"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.41769,0.41769,-1.202
0.42523,0.42523,-1.200
0.45073,0.45073,-1.200
0.46136,0.46136,-1.200
0.46481,0.46481,-1.199
0.46901,0.46901,-1.200
0.47073,0.47073,-1.200
0.47461,0.47461,-1.200
0.47833,0.47833,-1.200
0.51450,0.51450,-1.200
0.53445,0.53445,-1.200
0.54601,0.54601,-1.200
0.56912,0.56912,-1.200
0.58687,0.58687,-1.200
0.61400,0.61400,-1.198
0.66351,0.66351,-1.195
0.67877,0.67877,-1.195
0.69247,0.69247,-1.195
0.73265,0.73265,-1.196
0.74429,0.74429,-1.195
0.75996,0.75996,-1.193
0.79198,0.79198,-1.192
0.80528,0.80528,-1.192
0.81639,0.81639,-1.192
0.82755,0.82755,-1.192
0.83127,0.83127,-1.190
0.83656,0.83656,-1.189
0.86684,0.86684,-1.187
0.87291,0.87291,-1.187
0.89415,0.89415,-1.187
0.92043,0.92043,-1.187
0.93631,0.93631,-1.186
0.95209,0.95209,-1.186
0.97279,0.97279,-1.186
0.99826,0.99826,-1.186
1.00876,1.00876,-1.186
1.01501,1.01501,-1.185
1.03349,1.03349,-1.184
1.03877,1.03877,-1.183
1.05190,1.05190,-1.182
1.06223,1.06223,-1.182
1.06509,1.06509,-1.182
1.06729,1.06729,-1.182
1.08217,1.08217,-1.182
1.09050,1.09050,-1.182
1.10074,1.10074,-1.182
1.11931,1.11931,-1.182
1.12595,1.12595,-1.182
1.13557,1.13557,-1.183
1.14548,1.14548,-1.182
1.15167,1.15167,-1.181
1.15642,1.15642,-1.180
1.16553,1.16553,-1.179
1.17229,1.17229,-1.178
1.17950,1.17950,-1.178
1.19504,1.19504,-1.178
1.20343,1.20343,-1.178
1.21301,1.21301,-1.177
1.23567,1.23567,-1.178
1.24286,1.24286,-1.178
1.25009,1.25009,-1.178
1.25824,1.25824,-1.178
1.26308,1.26308,-1.178
1.26669,1.26669,-1.178
1.27689,1.27689,-1.178
1.28050,1.28050,-1.178
1.28423,1.28423,-1.178
1.29674,1.29674,-1.176
1.30328,1.30328,-1.175
1.31674,1.31674,-1.173
1.32108,1.32108,-1.171
1.32474,1.32474,-1.172
1.33696,1.33696,-1.171
1.34224,1.34224,-1.170
1.34596,1.34596,-1.170
1.36050,1.36050,-1.172
1.36873,1.36873,-1.172
1.37733,1.37733,-1.171
1.38666,1.38666,-1.172
1.38976,1.38976,-1.172
1.39406,1.39406,-1.173
1.41638,1.41638,-1.172
1.43045,1.43045,-1.172
1.43771,1.43771,-1.173
1.44673,1.44673,-1.174
1.45079,1.45079,-1.173
1.45399,1.45399,-1.173
1.46989,1.46989,-1.173
1.47893,1.47893,-1.173
1.50507,1.50507,-1.173
1.51750,1.51750,-1.173
1.53093,1.53093,-1.173
1.56200,1.56200,-1.172
1.57314,1.57314,-1.171
1.58562,1.58562,-1.169
1.59142,1.59142,-1.168
1.59590,1.59590,-1.168
1.59592,1.59592,-1.168
1.59737,1.59737,-1.168
1.59915,1.59915,-1.168
1.60136,1.60136,-1.168
1.60648,1.60648,-1.168
1.60884,1.60884,-1.168
1.61067,1.61067,-1.167
1.61386,1.61386,-1.167
1.61624,1.61624,-1.166
1.61850,1.61850,-1.167
1.62544,1.62544,-1.167
1.62869,1.62869,-1.167
1.64062,1.64062,-1.166
1.64754,1.64754,-1.166
1.65639,1.65639,-1.166
1.67187,1.67187,-1.166
1.67778,1.67778,-1.166
1.68268,1.68268,-1.166
1.69904,1.69904,-1.164
1.70781,1.70781,-1.163
1.71754,1.71754,-1.163
1.74142,1.74142,-1.162
1.75240,1.75240,-1.162
1.75890,1.75890,-1.163
1.77481,1.77481,-1.162
1.78293,1.78293,-1.161
1.79285,1.79285,-1.162
1.80740,1.80740,-1.163
1.80804,1.80804,-1.162
1.81242,1.81242,-1.161
1.81435,1.81435,-1.159
1.81694,1.81694,-1.157
1.81825,1.81825,-1.157
1.82927,1.82927,-1.157
1.83685,1.83685,-1.157
1.83850,1.83850,-1.158
1.83453,1.83453,-1.158
1.83502,1.83502,-1.158
1.83574,1.83574,-1.156
1.83403,1.83403,-1.154
1.83182,1.83182,-1.153
1.82816,1.82816,-1.154
1.83073,1.83073,-1.153
1.82858,1.82858,-1.153
1.82698,1.82698,-1.153
1.81897,1.81897,-1.152
1.81645,1.81645,-1.150
1.81638,1.81638,-1.149
1.81287,1.81287,-1.149
1.80368,1.80368,-1.149
1.78326,1.78326,-1.149
1.77737,1.77737,-1.149
1.77415,1.77415,-1.149
1.76114,1.76114,-1.149
1.74304,1.74304,-1.149
1.72818,1.72818,-1.149
1.71729,1.71729,-1.148
1.70184,1.70184,-1.147
1.68874,1.68874,-1.146
1.67870,1.67870,-1.146
1.66992,1.66992,-1.146
1.66093,1.66093,-1.145
1.62265,1.62265,-1.146
1.59813,1.59813,-1.145
1.57939,1.57939,-1.145
1.55974,1.55974,-1.145
1.55237,1.55237,-1.145
1.54236,1.54236,-1.142
1.50688,1.50688,-1.141
1.49806,1.49806,-1.141
1.48425,1.48425,-1.141
1.46494,1.46494,-1.141
1.44922,1.44922,-1.141
1.40977,1.40977,-1.141
1.39043,1.39043,-1.141
1.36870,1.36870,-1.140
1.33919,1.33919,-1.139
1.31300,1.31300,-1.137
1.29475,1.29475,-1.137
1.24475,1.24475,-1.137
1.22147,1.22147,-1.137
1.20682,1.20682,-1.136
1.16643,1.16643,-1.136
1.16171,1.16171,-1.134
1.15744,1.15744,-1.132
1.14467,1.14467,-1.132
1.13824,1.13824,-1.132
1.12514,1.12514,-1.132
1.10011,1.10011,-1.131
1.09334,1.09334,-1.131
1.08536,1.08536,-1.132
1.07829,1.07829,-1.132
1.07079,1.07079,-1.130
