"Light Intensity (% of scale max) Run #1","Relative Intensity Run #1","Voltage (V) Run #1"
0.02773,0.02773,-0.570
0.02780,0.02780,-0.570
0.02765,0.02765,-0.571
0.02780,0.02780,-0.573
0.02798,0.02798,-0.574
0.02750,0.02750,-0.575
0.02753,0.02753,-0.575
0.02719,0.02719,-0.575
0.02684,0.02684,-0.575
0.02559,0.02559,-0.575
0.02495,0.02495,-0.577
0.02505,0.02505,-0.578
0.02466,0.02466,-0.578
0.02435,0.02435,-0.580
0.02457,0.02457,-0.584
0.02444,0.02444,-0.583
0.02477,0.02477,-0.587
0.02499,0.02499,-0.589
0.02524,0.02524,-0.588
0.02557,0.02557,-0.589
0.02547,0.02547,-0.593
0.02544,0.02544,-0.593
0.02531,0.02531,-0.593
0.02484,0.02484,-0.596
0.02507,0.02507,-0.598
0.02492,0.02492,-0.598
0.02467,0.02467,-0.600
0.02467,0.02467,-0.601
0.02455,0.02455,-0.601
0.02451,0.02451,-0.604
0.02452,0.02452,-0.606
0.02429,0.02429,-0.606
0.02449,0.02449,-0.606
0.02429,0.02429,-0.607
0.02470,0.02470,-0.609
0.02466,0.02466,-0.610
0.02472,0.02472,-0.610
0.02487,0.02487,-0.611
0.02547,0.02547,-0.614
0.02592,0.02592,-0.615
0.02647,0.02647,-0.615
0.02690,0.02690,-0.616
0.02759,0.02759,-0.620
0.02837,0.02837,-0.620
0.02837,0.02837,-0.620
0.02879,0.02879,-0.623
0.02901,0.02901,-0.625
0.02930,0.02930,-0.625
0.02919,0.02919,-0.628
0.02873,0.02873,-0.630
0.02881,0.02881,-0.630
0.02829,0.02829,-0.630
0.02719,0.02719,-0.631
0.02644,0.02644,-0.634
0.02567,0.02567,-0.634
0.02548,0.02548,-0.634
0.02495,0.02495,-0.635
0.02507,0.02507,-0.637
0.02518,0.02518,-0.638
0.02486,0.02486,-0.638
0.02542,0.02542,-0.641
0.02652,0.02652,-0.642
0.02867,0.02867,-0.642
0.03049,0.03049,-0.642
0.03459,0.03459,-0.641
0.03670,0.03670,-0.642
0.03870,0.03870,-0.645
0.04100,0.04100,-0.645
0.04378,0.04378,-0.646
0.04509,0.04509,-0.650
0.04631,0.04631,-0.651
0.04701,0.04701,-0.652
0.04459,0.04459,-0.652
0.04158,0.04158,-0.655
0.03979,0.03979,-0.655
0.03802,0.03802,-0.655
0.03094,0.03094,-0.656
0.02908,0.02908,-0.659
0.02628,0.02628,-0.659
0.02538,0.02538,-0.660
0.02467,0.02467,-0.662
0.02528,0.02528,-0.663
0.02528,0.02528,-0.663
0.02591,0.02591,-0.666
0.02731,0.02731,-0.668
0.02884,0.02884,-0.667
0.03091,0.03091,-0.668
0.03304,0.03304,-0.672
0.03592,0.03592,-0.673
0.04192,0.04192,-0.673
0.04234,0.04234,-0.673
0.04233,0.04233,-0.673
0.04352,0.04352,-0.677
0.04739,0.04739,-0.677
0.04747,0.04747,-0.677
0.04718,0.04718,-0.680
0.04366,0.04366,-0.681
0.03870,0.03870,-0.681
0.03841,0.03841,-0.682
0.03458,0.03458,-0.682
0.03117,0.03117,-0.686
0.02994,0.02994,-0.687
0.02881,0.02881,-0.687
0.02809,0.02809,-0.690
0.02718,0.02718,-0.690
0.02544,0.02544,-0.691
0.02533,0.02533,-0.691
0.02574,0.02574,-0.692
0.02664,0.02664,-0.693
0.03000,0.03000,-0.696
0.03171,0.03171,-0.695
0.03333,0.03333,-0.696
0.03664,0.03664,-0.696
0.04059,0.04059,-0.697
0.04283,0.04283,-0.699
0.04422,0.04422,-0.699
0.04616,0.04616,-0.700
0.04639,0.04639,-0.701
0.04524,0.04524,-0.704
0.04417,0.04417,-0.704
0.04227,0.04227,-0.704
0.04027,0.04027,-0.708
0.03880,0.03880,-0.709
0.03894,0.03894,-0.710
0.03694,0.03694,-0.712
0.03244,0.03244,-0.714
0.03055,0.03055,-0.714
0.03018,0.03018,-0.714
0.02785,0.02785,-0.714
0.02684,0.02684,-0.714
0.02606,0.02606,-0.716
0.02588,0.02588,-0.718
0.02565,0.02565,-0.718
0.02553,0.02553,-0.718
0.02553,0.02553,-0.720
0.02533,0.02533,-0.722
0.02509,0.02509,-0.722
0.02563,0.02563,-0.722
0.02989,0.02989,-0.721
0.03036,0.03036,-0.721
0.03313,0.03313,-0.721
0.03545,0.03545,-0.721
0.03883,0.03883,-0.721
0.03964,0.03964,-0.725
0.03979,0.03979,-0.725
0.04039,0.04039,-0.726
0.03915,0.03915,-0.728
0.03683,0.03683,-0.730
0.03673,0.03673,-0.730
0.03418,0.03418,-0.731
0.02890,0.02890,-0.733
0.02727,0.02727,-0.734
0.02650,0.02650,-0.734
0.02579,0.02579,-0.737
0.02536,0.02536,-0.739
0.02502,0.02502,-0.739
0.02464,0.02464,-0.742
0.02423,0.02423,-0.744
0.02473,0.02473,-0.744
0.02498,0.02498,-0.744
0.02519,0.02519,-0.746
0.02528,0.02528,-0.749
0.02583,0.02583,-0.749
0.02621,0.02621,-0.749
0.02638,0.02638,-0.751
0.02670,0.02670,-0.754
0.02676,0.02676,-0.755
0.02698,0.02698,-0.754
0.02695,0.02695,-0.756
0.02711,0.02711,-0.758
0.02696,0.02696,-0.758
0.02660,0.02660,-0.758
0.02682,0.02682,-0.762
0.02681,0.02681,-0.762
0.02623,0.02623,-0.762
0.02580,0.02580,-0.762
0.02538,0.02538,-0.762
0.02568,0.02568,-0.762
0.02521,0.02521,-0.762
0.02496,0.02496,-0.765
0.02458,0.02458,-0.765
0.02458,0.02458,-0.766
0.02489,0.02489,-0.766
0.02460,0.02460,-0.768
0.02448,0.02448,-0.770
0.02464,0.02464,-0.770
0.02484,0.02484,-0.770
0.02525,0.02525,-0.771
0.02641,0.02641,-0.770
0.02684,0.02684,-0.771
0.02748,0.02748,-0.776
0.02837,0.02837,-0.777
0.03032,0.03032,-0.776
0.03065,0.03065,-0.778
0.03091,0.03091,-0.780
0.03091,0.03091,-0.780
0.03221,0.03221,-0.781
0.03226,0.03226,-0.784
0.03238,0.03238,-0.784
0.03264,0.03264,-0.784
0.03253,0.03253,-0.784
0.03236,0.03236,-0.784
0.03253,0.03253,-0.786
0.03238,0.03238,-0.788
0.03235,0.03235,-0.788
0.03246,0.03246,-0.788
0.03249,0.03249,-0.788
0.03244,0.03244,-0.788
0.03265,0.03265,-0.788
0.03255,0.03255,-0.788
0.03265,0.03265,-0.788
0.03278,0.03278,-0.788
0.03239,0.03239,-0.788
0.03246,0.03246,-0.787
0.03227,0.03227,-0.787
0.03239,0.03239,-0.788
0.03210,0.03210,-0.788
0.03224,0.03224,-0.787
