"Light Intensity (% of scale max) Run #8","Relative Intensity Run #8","Voltage (V) Run #8"
0.02397,0.02397,1.144
0.02426,0.02426,1.141
0.02408,0.02408,1.141
0.02409,0.02409,1.141
0.02393,0.02393,1.136
0.02397,0.02397,1.135
0.02380,0.02380,1.134
0.02368,0.02368,1.129
0.02379,0.02379,1.129
0.02390,0.02390,1.129
0.02385,0.02385,1.129
0.02396,0.02396,1.126
0.02417,0.02417,1.125
0.02380,0.02380,1.125
0.02382,0.02382,1.125
0.02356,0.02356,1.125
0.02391,0.02391,1.123
0.02390,0.02390,1.120
0.02400,0.02400,1.121
0.02379,0.02379,1.119
0.02393,0.02393,1.116
0.02383,0.02383,1.116
0.02402,0.02402,1.116
0.02419,0.02419,1.115
0.02373,0.02373,1.113
0.02391,0.02391,1.111
0.02396,0.02396,1.111
0.02386,0.02386,1.111
0.02393,0.02393,1.108
0.02406,0.02406,1.106
0.02417,0.02417,1.106
0.02405,0.02405,1.106
0.02408,0.02408,1.105
0.02415,0.02415,1.103
0.02411,0.02411,1.102
0.02408,0.02408,1.102
0.02393,0.02393,1.102
0.02379,0.02379,1.102
0.02414,0.02414,1.101
0.02405,0.02405,1.098
0.02403,0.02403,1.097
0.02396,0.02396,1.097
0.02394,0.02394,1.097
0.02379,0.02379,1.097
0.02390,0.02390,1.094
0.02409,0.02409,1.094
0.02397,0.02397,1.093
0.02400,0.02400,1.092
0.02406,0.02406,1.094
0.02403,0.02403,1.090
0.02411,0.02411,1.087
0.02383,0.02383,1.087
0.02388,0.02388,1.087
0.02391,0.02391,1.086
0.02396,0.02396,1.082
0.02397,0.02397,1.081
0.02409,0.02409,1.081
0.02405,0.02405,1.081
0.02414,0.02414,1.078
0.02379,0.02379,1.077
0.02386,0.02386,1.078
0.02356,0.02356,1.077
0.02357,0.02357,1.077
0.02414,0.02414,1.076
0.02400,0.02400,1.076
0.02385,0.02385,1.075
0.02383,0.02383,1.073
0.02380,0.02380,1.073
0.02402,0.02402,1.073
0.02405,0.02405,1.073
0.02371,0.02371,1.073
0.02365,0.02365,1.073
0.02379,0.02379,1.073
0.02380,0.02380,1.073
0.02388,0.02388,1.073
0.02409,0.02409,1.073
0.02373,0.02373,1.071
0.02412,0.02412,1.068
0.02402,0.02402,1.069
0.02367,0.02367,1.068
0.02383,0.02383,1.065
0.02370,0.02370,1.065
0.02386,0.02386,1.065
0.02368,0.02368,1.065
0.02408,0.02408,1.065
0.02379,0.02379,1.064
0.02377,0.02377,1.065
0.02385,0.02385,1.064
0.02365,0.02365,1.065
0.02393,0.02393,1.065
0.02419,0.02419,1.065
0.02396,0.02396,1.066
0.02388,0.02388,1.066
0.02388,0.02388,1.065
0.02377,0.02377,1.065
0.02371,0.02371,1.064
0.02396,0.02396,1.062
0.02382,0.02382,1.061
0.02382,0.02382,1.062
0.02374,0.02374,1.062
0.02379,0.02379,1.062
0.02394,0.02394,1.061
0.02399,0.02399,1.059
0.02379,0.02379,1.058
0.02383,0.02383,1.058
0.02388,0.02388,1.057
0.02382,0.02382,1.053
0.02396,0.02396,1.052
0.02380,0.02380,1.053
0.02382,0.02382,1.053
0.02402,0.02402,1.052
0.02400,0.02400,1.047
0.02383,0.02383,1.048
0.02383,0.02383,1.048
0.02386,0.02386,1.047
0.02368,0.02368,1.047
0.02379,0.02379,1.047
0.02417,0.02417,1.048
0.02412,0.02412,1.044
0.02400,0.02400,1.042
0.02405,0.02405,1.042
0.02393,0.02393,1.040
0.02376,0.02376,1.038
0.02411,0.02411,1.038
0.02368,0.02368,1.036
0.02383,0.02383,1.034
0.02409,0.02409,1.034
0.02383,0.02383,1.033
0.02411,0.02411,1.030
0.02412,0.02412,1.030
0.02383,0.02383,1.029
0.02411,0.02411,1.025
0.02386,0.02386,1.024
0.02386,0.02386,1.024
0.02368,0.02368,1.022
0.02386,0.02386,1.019
0.02380,0.02380,1.019
0.02376,0.02376,1.019
0.02374,0.02374,1.018
0.02390,0.02390,1.015
0.02380,0.02380,1.015
0.02399,0.02399,1.015
0.02386,0.02386,1.015
0.02386,0.02386,1.013
0.02409,0.02409,1.010
0.02386,0.02386,1.010
0.02396,0.02396,1.010
0.02408,0.02408,1.006
0.02438,0.02438,1.006
0.02426,0.02426,1.005
0.02382,0.02382,1.001
0.02455,0.02455,1.001
0.02446,0.02446,1.000
0.02435,0.02435,0.997
0.02405,0.02405,0.997
0.02435,0.02435,0.996
0.02452,0.02452,0.992
0.02464,0.02464,0.992
0.02477,0.02477,0.992
0.02446,0.02446,0.990
0.02441,0.02441,0.986
0.02428,0.02428,0.985
0.02422,0.02422,0.982
0.02419,0.02419,0.982
0.02423,0.02423,0.982
0.02432,0.02432,0.979
0.02446,0.02446,0.979
0.02402,0.02402,0.978
0.02437,0.02437,0.976
0.02396,0.02396,0.975
0.02426,0.02426,0.975
0.02383,0.02383,0.974
0.02383,0.02383,0.970
0.02391,0.02391,0.970
0.02397,0.02397,0.970
0.02391,0.02391,0.969
0.02390,0.02390,0.966
