,,,-72.960004210E-3,1.1000000,,,,,-72.960004210E-3,6.88000059,
,,,-72.880007327E-3,1.0800000,,,,,-72.880007327E-3,6.88000059,
,,,-72.800002992E-3,1.0600001,,,,,-72.800002992E-3,6.88000059,
,,,-72.720006108E-3,1.0400001,,,,,-72.720006108E-3,6.80000067,
,,,-72.640009224E-3,1.0400001,,,,,-72.640009224E-3,6.80000067,
,,,-72.560004890E-3,1.0200001,,,,,-72.560004890E-3,6.80000067,
,,,-72.480008006E-3,980.000078678E-3,,,,,-72.480008006E-3,6.80000067,
,,,-72.400003672E-3,980.000078678E-3,,,,,-72.400003672E-3,6.72000027,
,,,-72.320006788E-3,940.000057220E-3,,,,,-72.320006788E-3,6.72000027,
,,,-72.240002453E-3,920.000076294E-3,,,,,-72.240002453E-3,6.72000027,
,,,-72.160005569E-3,880.000054836E-3,,,,,-72.160005569E-3,6.64000034,
,,,-72.080008686E-3,880.000054836E-3,,,,,-72.080008686E-3,6.64000034,
,,,-72.000004351E-3,860.000073910E-3,,,,,-72.000004351E-3,6.64000034,
,,,-71.920007467E-3,820.000052452E-3,,,,,-71.920007467E-3,6.64000034,
,,,-71.840003133E-3,800.000071526E-3,,,,,-71.840003133E-3,6.56000042,
,,,-71.760006249E-3,760.000050068E-3,,,,,-71.760006249E-3,6.48000050,
,,,-71.680009365E-3,720.000028610E-3,,,,,-71.680009365E-3,6.48000050,
,,,-71.600005031E-3,680.000066757E-3,,,,,-71.600005031E-3,6.48000050,
,,,-71.520008147E-3,680.000066757E-3,,,,,-71.520008147E-3,6.40000057,
,,,-71.440003812E-3,620.000064373E-3,,,,,-71.440003812E-3,6.32000065,
,,,-71.360006928E-3,580.000042915E-3,,,,,-71.360006928E-3,6.32000065,
,,,-71.280002594E-3,540.000021458E-3,,,,,-71.280002594E-3,6.32000065,
,,,-71.200005710E-3,520.000040531E-3,,,,,-71.200005710E-3,6.24000025,
,,,-71.120008826E-3,480.000019073E-3,,,,,-71.120008826E-3,6.16000032,
,,,-71.040004492E-3,460.000038147E-3,,,,,-71.040004492E-3,6.16000032,
,,,-70.960007608E-3,440.000027418E-3,,,,,-70.960007608E-3,6.08000040,
,,,-70.880003273E-3,400.00003576E-3,,,,,-70.880003273E-3,6.08000040,
,,,-70.800006390E-3,360.00001431E-3,,,,,-70.800006390E-3,6.00000048,
